Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Condition	Seller Notes	Brand	Model	Storage Capacity	Network	Camera Resolution	Screen Size	Lock Status	RAM	Contract	Operating System	Model Number	Style	MPN	Connectivity	Features	SIM Card Slot	Memory Card Type	Processor	Color	2G	3G	4G	5G	Bluetooth	GSM	WI-FI	Micro USB	USB	Type-C	Fast_usb	NFC	Dual-Band	ANT+	Android Beam	Beidou	Cellular	FM	DLNA	EDGE	Fast Charge	GPS	Galileo	Global Version	HDMI Micro	Glonass	Headphone Jack	OTA	OTG	Infrared	Lightning	Quad-Band	Tri-Band	Wireless charging	WAP	WCDMA
Samsung Galaxy A51 128GB Crush Black Verizon Smartphone SMA515UZKVZ	182.8	0.0	353.0	64529.8	https://www.ebay.com/itm/143744442378?nordt=true&orig_cvip=true&rt=nc	Open box	“The item in this listing is an Open Box (packaging maybe slightly distressed) The unit powers on ...Read moreabout the seller notes“The item in this listing is an Open Box (packaging maybe slightly distressed) The unit powers on with factory settings restored and includes the original accessories. Please refer to the description for a list of accessories or items that are included.”Read Lessabout the seller notes	samsung	Samsung Galaxy A51	128.0	Operator	12.0	6.5	Factory Unlocked	4.0	Without Contract	Android	SM-A515U	Bar	SM-A515UZKNVZW, SMA515UZKNVZW	USB Type-C, Bluetooth, 4G, Wi-Fi, NFC	Proximity Sensor, Gyro Sensor, Quad Rear Camera, Accelerometer, Fingerprint Sensor	Single SIM	MicroSD	Octa Core	Black	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCL 20XE - Boost Mobile Prepaid Smartphone - Brand New	62.34	0.0	673.0	41957.04	https://www.ebay.com/itm/125121599533?nordt=true&orig_cvip=true&rt=nc	New	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	tcl	XE20	32.0	Operator	17.588671875	5.916407485281749	Network Locked	4.979014989293362	Prepaid	Other	A2111 (CDMA + GSM)	Bar	Does Not Apply	Bluetooth, 4G, Wi-Fi, Lightning, NFC	Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable	Single SIM	MicroSD	Others	Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Visible Midnight Smartphone -32GB - Wireless Charging (T-Mobile/Verizon/Visible)	46.46	0.0	300.0	13937.49	https://www.ebay.com/itm/125464947357?nordt=true&orig_cvip=true&rt=nc	Open box	“Open Box, otherwise brand new condition. Brand new wireless charger included.”	visible	Midnight	32.0	Operator	13.0	6.5	Verizon	3.0	Without Contract	Android	WTVIS01VS	Bar	Does Not Apply	4G	"Wireless Charging, Android 11, 6.52"" HD+ display"	Single SIM	MicroSD	Others	Midnight Blue-gray	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Visible Midnight Smartphone -32GB - Wireless Charging (T-Mobile/Verizon/Visible)	46.46	0.0	300.0	13937.49	https://www.ebay.com/itm/125464947357?nordt=true&orig_cvip=true&rt=nc	Open box	“Open Box, otherwise brand new condition. Brand new wireless charger included.”	visible	Midnight	32.0	Operator	13.0	6.5	Verizon	3.0	Without Contract	Android	WTVIS01VS	Bar	Does Not Apply	4G	"Wireless Charging, Android 11, 6.52"" HD+ display"	Single SIM	MicroSD	Others	Midnight Blue-gray	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Visible Midnight Smartphone -32GB - Wireless Charging (T-Mobile/Verizon/Visible)	46.46	0.0	300.0	13937.49	https://www.ebay.com/itm/125464947357?nordt=true&orig_cvip=true&rt=nc	Open box	“Open Box, otherwise brand new condition. Brand new wireless charger included.”	visible	Midnight	32.0	Operator	13.0	6.5	Verizon	3.0	Without Contract	Android	WTVIS01VS	Bar	Does Not Apply	4G	"Wireless Charging, Android 11, 6.52"" HD+ display"	Single SIM	MicroSD	Others	Midnight Blue-gray	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Visible Midnight Smartphone -32GB - Wireless Charging (T-Mobile/Verizon/Visible)	46.46	0.0	300.0	13937.49	https://www.ebay.com/itm/125464947357?nordt=true&orig_cvip=true&rt=nc	Open box	“Open Box, otherwise brand new condition. Brand new wireless charger included.”	visible	Midnight	32.0	Operator	13.0	6.5	Verizon	3.0	Without Contract	Android	WTVIS01VS	Bar	Does Not Apply	4G	"Wireless Charging, Android 11, 6.52"" HD+ display"	Single SIM	MicroSD	Others	Midnight Blue-gray	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung Galaxy Note 9 128GB N960U Unlocked Smartphone AT&T T-Mobile Sprint Dot C	184.05	6.16	316.0	58159.35	https://www.ebay.com/itm/124888960267?nordt=true&orig_cvip=true&rt=nc	Used	“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check ...Read moreabout the seller notes“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check carefully before you pay for it!!!The device will show a Pink/Green SHADE /DOT / Line ON THE SCREEN, which will not impact the functionality of the device. The cosmetic condition is fair, it may show heavy signs of wear and tear, such as dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	samsung	Samsung Galaxy Note9	128.0	Unlocked	12.0	6.4	Factory Unlocked	6.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	SM-N960U	2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi	AMOLED Display, Bluetooth Enabled, Camera, Email, Web, Fast Charging, Fingerprint Sensor, FM Radio, Front Camera, GPS, Music Player, Rear Camera, Sim Free, Speakerphone, Touch Screen, Wi-Fi Capable	Single SIM	MicroSD	Octa Core	Black	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung Galaxy Note 9 128GB N960U Unlocked Smartphone AT&T T-Mobile Sprint Dot C	184.05	6.16	316.0	58159.35	https://www.ebay.com/itm/124888960267?nordt=true&orig_cvip=true&rt=nc	Used	“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check ...Read moreabout the seller notes“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check carefully before you pay for it!!!The device will show a Pink/Green SHADE /DOT / Line ON THE SCREEN, which will not impact the functionality of the device. The cosmetic condition is fair, it may show heavy signs of wear and tear, such as dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	samsung	Samsung Galaxy Note9	128.0	Unlocked	12.0	6.4	Factory Unlocked	6.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	SM-N960U	2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi	AMOLED Display, Bluetooth Enabled, Camera, Email, Web, Fast Charging, Fingerprint Sensor, FM Radio, Front Camera, GPS, Music Player, Rear Camera, Sim Free, Speakerphone, Touch Screen, Wi-Fi Capable	Single SIM	MicroSD	Octa Core	Black	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung Galaxy Note 9 128GB N960U Unlocked Smartphone AT&T T-Mobile Sprint Dot C	184.05	6.16	316.0	58159.35	https://www.ebay.com/itm/124888960267?nordt=true&orig_cvip=true&rt=nc	Used	“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check ...Read moreabout the seller notes“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check carefully before you pay for it!!!The device will show a Pink/Green SHADE /DOT / Line ON THE SCREEN, which will not impact the functionality of the device. The cosmetic condition is fair, it may show heavy signs of wear and tear, such as dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	samsung	Samsung Galaxy Note9	128.0	Unlocked	12.0	6.4	Factory Unlocked	6.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	SM-N960U	2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi	AMOLED Display, Bluetooth Enabled, Camera, Email, Web, Fast Charging, Fingerprint Sensor, FM Radio, Front Camera, GPS, Music Player, Rear Camera, Sim Free, Speakerphone, Touch Screen, Wi-Fi Capable	Single SIM	MicroSD	Octa Core	Black	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung Galaxy Note 9 128GB N960U Unlocked Smartphone AT&T T-Mobile Sprint Dot C	184.05	6.16	316.0	58159.35	https://www.ebay.com/itm/124888960267?nordt=true&orig_cvip=true&rt=nc	Used	“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check ...Read moreabout the seller notes“Obvious dot on the screen,in poor condition,has obvious scratches,not new items,please check carefully before you pay for it!!!The device will show a Pink/Green SHADE /DOT / Line ON THE SCREEN, which will not impact the functionality of the device. The cosmetic condition is fair, it may show heavy signs of wear and tear, such as dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	samsung	Samsung Galaxy Note9	128.0	Unlocked	12.0	6.4	Factory Unlocked	6.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	SM-N960U	2G, 3G, 4G, Bluetooth, GPS, USB Type-C, Wi-Fi	AMOLED Display, Bluetooth Enabled, Camera, Email, Web, Fast Charging, Fingerprint Sensor, FM Radio, Front Camera, GPS, Music Player, Rear Camera, Sim Free, Speakerphone, Touch Screen, Wi-Fi Capable	Single SIM	MicroSD	Octa Core	Black	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG Stylo 5 - 32GB - Sprint Unlocked - Smartphone - White - Very Good	74.51	29.47	415.0	30922.49	https://www.ebay.com/itm/144148545114?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & ...Read moreabout the seller notes“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	lg	LG Stylo 5	32.0	Unlocked	13.0	6.2	Network Unlocked	3.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	LMQ720QMAAMZSW	Bluetooth, 4G, Wi-Fi	Accelerometer, Ambient Light Sensor, Barometer, Bluetooth Enabled, Front Camera	Single SIM	MicroSD	Octa Core	White	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG Stylo 5 - 32GB - Sprint Unlocked - Smartphone - White - Very Good	74.51	29.47	415.0	30922.49	https://www.ebay.com/itm/144148545114?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & ...Read moreabout the seller notes“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	lg	LG Stylo 5	32.0	Unlocked	13.0	6.2	Network Unlocked	3.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	LMQ720QMAAMZSW	Bluetooth, 4G, Wi-Fi	Accelerometer, Ambient Light Sensor, Barometer, Bluetooth Enabled, Front Camera	Single SIM	MicroSD	Octa Core	White	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG Stylo 5 - 32GB - Sprint Unlocked - Smartphone - White - Very Good	74.51	29.47	415.0	30922.49	https://www.ebay.com/itm/144148545114?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & ...Read moreabout the seller notes“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	lg	LG Stylo 5	32.0	Unlocked	13.0	6.2	Network Unlocked	3.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	LMQ720QMAAMZSW	Bluetooth, 4G, Wi-Fi	Accelerometer, Ambient Light Sensor, Barometer, Bluetooth Enabled, Front Camera	Single SIM	MicroSD	Octa Core	White	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LG Stylo 5 - 32GB - Sprint Unlocked - Smartphone - White - Very Good	74.51	29.47	415.0	30922.49	https://www.ebay.com/itm/144148545114?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & ...Read moreabout the seller notes“The cosmetic condition is overall GOOD, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | The device has been tested and is FULLY FUNCTIONAL”Read Lessabout the seller notes	lg	LG Stylo 5	32.0	Unlocked	13.0	6.2	Network Unlocked	3.0	Without Contract	Android	A2111 (CDMA + GSM)	Bar	LMQ720QMAAMZSW	Bluetooth, 4G, Wi-Fi	Accelerometer, Ambient Light Sensor, Barometer, Bluetooth Enabled, Front Camera	Single SIM	MicroSD	Octa Core	White	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UMIDIGI BISON 8GB + 128GB Rugged Smartphone Waterproof 6.3"" NFC 33W Android 11 "	172.67	0.0	414.0	71484.86	https://www.ebay.com/itm/284254311182?nordt=true&orig_cvip=true&rt=nc	New	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	umidigi	UMIDIGI 2021 8GB+128GB	256.0	Operator	48.0	6.3	Factory Unlocked	8.0	Without Contract	Android	Does not apply	Bar	Does Not Apply	4G, Bluetooth, Dual-Band, GPS, LTE, NFC, USB Type-C	Bluetooth Enabled, Camera, Fingerprint Sensor, Front Camera, Geomagnetic sensor, Global Ready, GPS, Gyro Sensor, Pressure Sensor, Quad Rear Camera, Rear Camera, Sim Free, Touch Screen	Dual SIM	MicroSD	Octa Core	Black	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DOOGEE S89 Pro Rugged Smartphone 8+256GB 12000mAh Android 12 Cellphone Unlocked	7.73	0.0	550.0	4252.25	https://www.ebay.com/itm/353640445665?nordt=true&orig_cvip=true&rt=nc	New	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	doogee	S89 Pro	256.0	Operator	64.0	6.3	Factory Unlocked	8.0	Without Contract	Android	A2111 (CDMA + GSM)	Outdoor Waterproof Smartphone	DOOGEE S89 Pro Smartphone	2G, 3G, 4G, Bluetooth, GPRS, GPS, NFC, USB Type-C, OTG, FM, WIFI	"Tricolour breathing light, Helio P90/Octa Core/2.1GHz/12nm, 6.3"" LCD FHD+ Waterdrop screen, SONY® IMX350 20MP Night vision camera, 12000mAh Large battery, Samsung® 16MP Front Camera, Side Fingerprint Recognition, NFC Supports Google Pay, Corning Gorilla Glass, Android 12.0, AI Triple camera (64MP+20MP+8MP), Support 65W fast charging, 8GB RAM+256GB ROM / UMCP, IP68 / IP69K / MIL-STD-810H"	Dual SIM (SIM + SIM + Memory Card)	MiniSD	Octa Core	Orange	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
